Oversikt Kommuner,,,,,
Kilde: SSB population data 2023-2024 | Regulatory baseline: EASA UAS Regulation (EU) 2019/947 + Luftfartstilsynet BSL-E | Generated Feb 2026,,,,,
,,,,,
Kommunenavn,Befolkning,Terreng/type,Droneerfaring,Anbefalt kontaktperson,Konstaktinformasjon
Verdal,15 000,Urban/Rural,Deltakende i SINTEF-prosjekt med Green Flyway og Røroshagen,Per Anders Fosslund,prfo@verdal.kommune.no
Oslo,710 000,Urban/Metropolitan,"High - Oslo tested drone delivery (BVLOS), infrastructure inspection, emergency response; multiple pilots with Luftfartstilsynet",Byråd for næring og eierskap,
Bergen,290 000,Urban/Coastal/Fjord,"High - Bergen piloted drone delivery (2021 Zipline partnership), bridge/infra inspection, SAR support",Kommunedirektør Rune Lid,
Trondheim,210 000,Urban/Coastal,High - Trondheim/NTNU major drone research hub; Drone test zone at Værnes; multiple EU Horizon projects; medical delivery tested Øya hospital,Kommunedirektør Morten Wolden,
Stavanger,145 000,Urban/Coastal,"High - Stavanger ran multiple pilots incl. oil&gas inspection drone, emergency response, Ryfast project inspection",Kommunedirektør Per Kristian Vareide,
Bærum,130 000,Urban/Suburban,Active - Bærum municipality ran drone inspection pilots on infrastructure 2022-2023,Kommunedirektør Grete Synnøve Qual,
Kristiansand,112 000,Urban/Coastal,"Active - Kristiansand piloted drone delivery 2022, infrastructure inspection",Kommunedirektør Camilla Dunsæd,
Drammen,101 000,Urban,Active - Drammen has explored drone delivery and infrastructure inspection,Kommunedirektør Kristine Hjelde,
Asker,100 000,Urban/Suburban,Begrenset - Some inspection use reported,Ordfører Lene Conradi,
Lillestrøm,88 000,Urban/Suburban,Begrenset,Kommunedirektør Tore Opdal Hansen,
Fredrikstad,84 000,Urban/Coastal,Active - infrastructure inspection pilots,Kommunedirektør Ole Petter Finess,
Sandnes,80 000,Urban/Suburban,Active - infrastructure monitoring pilots,Kommunedirektør Bodil Sivertsen,
Tromsø,78 000,Urban/Coastal/Arctic,High - Tromsø piloted Arctic drone operations; UiT research; medical supply transport tested; Luftfartstilsynet cooperation,Kommunedirektør Øyvind Hilmarsen,
Ålesund,67 000,Urban/Coastal/Fjord,"Active - offshore drone inspection, maritime SAR testing",Kommunedirektør Astrid Eidsvik,
Sandefjord,65 000,Urban/Coastal,Begrenset,Kommunedirektør Bjørn Rudaa,
Sarpsborg,61 000,Urban,Begrenset,Kommunedirektør Sindre Martinsen-Evje,
Nordre Follo,60 000,Urban/Rural,Begrenset,Kommunedirektør Kristian Rokseth,
Skien,57 000,Urban,Begrenset,Kommunedirektør Hedda Blørstad,
